title,slug,images,description,body,ID,linkedin,twitter,facebook,instagram,youtube,apple,website,spotify,date,image_caption
"Catherine Lammert",/authors/catherine-lammert,https://www.proteinreport.org/sites/default/files/2022-05/catherine.jpg,"Catherine received her PhD in neuroimmunology from the University of Virginia in 2020 where she studied how the immune system impacts neurodevelopment. Currently, she is a postdoctoral associate at Northwestern Feinberg where she is studying neuro-immune interactions in Alzheimer’s Disease. She is enthusiastic about applying insights from biology to solve challenges related to human health and the environment.","<p>Catherine received her PhD in neuroimmunology from the University of Virginia in 2020 where she studied how the immune system impacts neurodevelopment. Currently, she is a postdoctoral associate at Northwestern Feinberg where she is studying neuro-immune interactions in Alzheimer’s Disease. She is enthusiastic about applying insights from biology to solve challenges related to human health and the environment.</p>",10872,https://www.linkedin.com/in/catherine-lammert-ph-d-9b42701a9/,https://twitter.com/CatherineLamme2,,,,,,,2022-05-19T03:28:29-0400,
"Tomas Linder",/authors/tomas-linder,https://www.proteinreport.org/sites/default/files/2022-03/Tomas-Linder.jpg,"Tomas Linder is an associate professor of microbiology at the Swedish University of Agricultural Sciences. His research is mainly focused on how yeast cells extract nutrients from their surrounding environment. Understanding the nutrient requirements of yeasts and other potentially edible microorganisms is essential for large-scale production of microbial protein, fats, and vitamins for human consumption.","<p>Tomas Linder is an associate professor of microbiology at the Swedish University of Agricultural Sciences. His research is mainly focused on how yeast cells extract nutrients from their surrounding environment. Understanding the nutrient requirements of yeasts and other potentially edible microorganisms is essential for large-scale production of microbial protein, fats, and vitamins for human consumption.</p>",10534,,https://twitter.com/yeastgenomix,https://www.facebook.com/yeastgenomix/,,,,https://www.slu.se/en/cv/tomas-linder/,,2022-03-08T07:58:48-0500,
"Carmen Bezerra",/authors/carmen-bezerra,https://www.proteinreport.org/sites/default/files/2021-11/carmen.jpg,,,9952,https://www.linkedin.com/in/carmen-nobre/,,,,,,,,2021-11-02T07:43:52-0400,
"Ishita Isha",/authors/ishita-isha,https://www.proteinreport.org/sites/default/files/2021-11/ishita.jpg,,,9951,https://www.linkedin.com/in/ishita-isha-b81937183/,,,,,,,,2021-11-02T07:43:18-0400,
"Xuanming Lou",/authors/xuanming-lou,https://www.proteinreport.org/sites/default/files/2021-10/photo_louxm.jpg,,,9893,,,,,,,,,2021-10-20T11:22:21-0400,
"Roka Kakehi",/authors/roka-kakehi,https://www.proteinreport.org/sites/default/files/2021-10/roka.jpg,,,9862,,,,,,,,,2021-10-14T06:56:00-0400,
"Jake Marko",/authors/jake-marko,https://www.proteinreport.org/sites/default/files/2021-10/Jake%20Marko.png,,,9845,,,,,,,,,2021-10-12T11:57:24-0400,
"Rahul Harshath Elangovan",/authors/rahul-harshath-elangovan,https://www.proteinreport.org/sites/default/files/2021-10/rahul.jpg,,,9843,,,,,,,,,2021-10-12T10:20:43-0400,
"Hanzhang Zhou",/authors/hanzhang-zhou,https://www.proteinreport.org/sites/default/files/2021-10/zhou.jpg,,,9841,,,,,,,,,2021-10-12T08:14:45-0400,
"Nam Tran",/authors/nam-tran,https://www.proteinreport.org/sites/default/files/2021-10/namtran.jpeg,,,9839,,,,,,,,,2021-10-12T07:51:54-0400,
