title,website,date,contributors,slug,images,banner_image,proteins,products,topics,regions,description,body,start_date,end_date,online,country,city,ID,image_caption
"4th Australian Pulse Conference",https://apc2023.com.au/,2023-02-02T11:23:12-0500,NL,/events/4th-australian-pulse-conference,https://www.proteinreport.org/sites/default/files/2023-02/APC-23-Logo-design-550x300-1.png,https://www.proteinreport.org/sites/default/files/2023-02/apc2023.jpg,Plant-Based,Ingredients,Business,Oceania,"The first symposium day investigates “Future Food” and will be devoted to developing linkages between agricultural researchers and end-product users such as food manufacturers and international markets. Pulses are uniquely placed to dominate any discussion about protein in a world concerned about sustainability. This “Future Food” focus will be open to single day registrants to encourage broader participation beyond the traditional pulse scientific research community, in particular the domestic food manufacturing industry.","<p>The first symposium day investigates “Future Food” and will be devoted to developing linkages between agricultural researchers and end-product users such as food manufacturers and international markets. Pulses are uniquely placed to dominate any discussion about protein in a world concerned about sustainability. This “Future Food” focus will be open to single day registrants to encourage broader participation beyond the traditional pulse scientific research community, in particular the domestic food manufacturing industry. There will also be a dedicated sponsorship offering for this day.</p>
<p>The second day will focus on research related to the agricultural side of production.</p>
<p>The field day provides an opportunity to examine Australian field research aimed at pulse production in the northern agricultural regions of Australia.</p>
<p>Please join us on what will be an exciting journey into pulse research and development - pushing improved profitability for growers in a sustainable manner whilst providing healthy options for human consumption - Pulses for people, profit, and the planet.</p>",2023-03-21,2023-03-23,False,Australia,Toowoomba,11252,
"4th Annual Research Spotlight Meeting",https://ppic.cfans.umn.edu/events/annual-research-spotlight-meeting/4th-annual-research-spotlight-meeting,2023-02-02T11:11:29-0500,NL,/events/4th-annual-research-spotlight-meeting,https://www.proteinreport.org/sites/default/files/2023-02/ppic_logo.png,https://www.proteinreport.org/sites/default/files/2023-02/spotlight%202021%20crowd.jpg,Plant-Based,"Meat, Dairy, Eggs, Seafood, Ingredients","Business, Sci-Tech","US &amp; Canada","We are thrilled to announce PPIC’s 4th Annual Research Spotlight Meeting on March 29-30, 2023. This year, the meeting will be held over a day and a half! The meeting will showcase research that is actively being conducted in the plant proteins space, including the projects funded by PPIC. The event features presentations from several researchers, internal and external to the PPIC researcher cohort. New this year, there will be two panel discussions from PPIC member industry representatives who will discuss challenges and opportunities for plant protein innovation.","<p>We are thrilled to announce PPIC’s 4th Annual Research Spotlight Meeting on March 29-30, 2023. This year, the meeting will be held over a day and a half! The meeting will showcase research that is actively being conducted in the plant proteins space, including the projects funded by PPIC. The event features presentations from several researchers, internal and external to the PPIC researcher cohort. New this year, there will be two panel discussions from PPIC member industry representatives who will discuss challenges and opportunities for plant protein innovation. The first panel discussion on March 29th will focus on plant protein based food products, while the panel discussion on March 30th will be on plant protein ingredients. These panel discussions will be preceded by a presentation on current consumer trends by The Hartman Group. The event also includes an interactive poster session with the opportunity to speak with students and researchers directly. There will be a number of networking opportunities to connect with potential collaborators, customers, partners, and fellow plant protein aficionados.</p>",2023-03-29,2023-03-30,False,"United States",Minnesota,11251,
"Meat Evolution Leaders Summit",https://www.meatevo.com/,2023-02-02T11:06:02-0500,NL,/events/meat-evolution-leaders-summit,https://www.proteinreport.org/sites/default/files/2023-02/mevo_0.png,https://www.proteinreport.org/sites/default/files/2023-02/mevo_0.jpg,"Cell-Based, Microbial","Meat, Dairy, Seafood, Ingredients","Business, Policy",Europe,"MEVO is a leaders summit that exclusively brings in-person decision makers from prominent to small-sized manufacturers, commercial producers, investors, cutting-edge technology providers, intellectuals, brands and future food vanguards who want to increase their knowledge and foothold in this lucrative growth market.","<p>MEVO is a leaders summit that exclusively brings in-person decision makers from prominent to small-sized manufacturers, commercial producers, investors, cutting-edge technology providers, intellectuals, brands and future food vanguards who want to increase their knowledge and foothold in this lucrative growth market.</p>",2023-02-15,2023-02-16,False,Germany,Berlin,11250,
"Unpacking Labour Risk in Global Meat Supply Chains",https://us02web.zoom.us/webinar/register/WN_sxZp6CSBTruOpz99obrgDQ,2023-02-02T10:58:51-0500,NL,/events/unpacking-labour-risk-global-meat-supply-chains,https://www.proteinreport.org/sites/default/files/2023-02/fairr.png,,Animal,Meat,"Business, Health","Europe, International","Join us on 16 February for an in depth look at the state of labour risk in the meatpacking industry. Sian Jones, ESG Analyst at FAIRR, will take us through the findings of our Working Conditions Phase 2 engagement report before turning to James Ritchie, Assistant General Secretary, IUF Global, and Nadira Narine, Senior Program Director, Interfaith Center on Corporate Responsibility, for an overview of the industry's labour issues more closely.
Time: Feb 16, 2023 03:00 PM in London","<p>Join us on 16 February for an in depth look at the state of labour risk in the meatpacking industry. Sian Jones, ESG Analyst at FAIRR, will take us through the findings of our Working Conditions Phase 2 engagement report before turning to James Ritchie, Assistant General Secretary, IUF Global, and Nadira Narine, Senior Program Director, Interfaith Center on Corporate Responsibility, for an overview of the industry's labour issues more closely.</p>
<p><strong>Time:</strong> Feb 16, 2023 03:00 PM in <a href="";"">London</a></p>",2023-02-16,2023-02-16,True,,,11249,
HackSummit,https://www.hacksummit.co/,2023-01-31T07:33:10-0500,laurahodgkiss,/events/hacksummit,https://www.proteinreport.org/sites/default/files/2023-01/1666428216459-2.jpeg,https://www.proteinreport.org/sites/default/files/2023-01/HackSummit-3-2.png,"Cell-Based, Plant-Based, Microbial, Molecular Farming, Algae, Fungi, Animal","Meat, Dairy, Eggs, Seafood, Ingredients, Materials","Business, Environment",Europe,"The HackSummit brings together the brightest minds in Food and ClimateTech on May 11-12.
Across the two days, the world’s founders and funders will meet in Lausanne for the ClimateTech event Europe deserves.
We'll cover hot topics from alternative climate financing to overcoming scale up bottlenecks, molecular farming to new biomaterials, and everything in-between.  
More than anything - it's a time to meet fellow founders, funders and industry insiders in what we think will probably be the most fun ClimateTech event of the year.","<p>The HackSummit brings together the brightest minds in Food and ClimateTech on May 11-12.</p>
<p>Across the two days, the world’s founders and funders will meet in Lausanne for the ClimateTech event Europe deserves.</p>
<p>We'll cover hot topics from alternative climate financing to overcoming scale up bottlenecks, molecular farming to new biomaterials, and everything in-between.  </p>
<p>More than anything - it's a time to meet fellow founders, funders and industry insiders in what we think will <em>probably</em> be the most fun ClimateTech event of the year.</p>",2023-05-11,2023-05-12,False,Switzerland,Lausanne,11246,
"NextGen Proteins Conference",https://nextgenproteins.eu/nextgen-proteins-conference/,2022-12-20T08:41:05-0500,NL,/events/nextgen-proteins-conference,https://www.proteinreport.org/sites/default/files/2022-12/cropped-cropped-Nextgen_Logo.png,https://www.proteinreport.org/sites/default/files/2022-12/cropped-cropped-Nextgen_Logo_0.png,"Plant-Based, Microbial, Fungi, Animal","Meat, Dairy, Eggs, Seafood, Ingredients","Environment, Sci-Tech",Europe,"Demand for proteins is increasing for food and feed applications.
To meet the increasing demand, production will have to double by 2050. However, current protein production, both animal- and vegetal based, has severe negative environmental impacts in terms of greenhouse gas emissions, land and water use, as well as biodiversity loss. The EU is not self-sufficient when it comes to protein production and a large proportion of the demand is met with imported proteins with concerns regarding food security and the general competitiveness of the EU.","<p>Demand for proteins is increasing for food and feed applications.</p>
<p>To meet the increasing demand, production will have to double by 2050. However, current protein production, both animal- and vegetal based, has severe negative environmental impacts in terms of greenhouse gas emissions, land and water use, as well as biodiversity loss. The EU is not self-sufficient when it comes to protein production and a large proportion of the demand is met with imported proteins with concerns regarding food security and the general competitiveness of the EU.</p>
<p>It is therefore of vital importance to find sustainable alternative protein sources that can be economically produced in quantities that meet growing food and feed sectors.</p>
<p>NextGenProteins invites researchers, farmers, producers and policymakers to join the conversation and contribute to the present and future of the sector.</p>",2023-09-07,2023-09-08,False,Germany,Bremerhaven,11228,
"THAIFEX – Anuga Asia 2023",https://thaifex-anuga.com/,2022-12-20T03:25:10-0500,NL,/events/thaifex-anuga-asia-2023,https://www.proteinreport.org/sites/default/files/2022-12/THAIFEX-Anuga-Asia-Logo.png,https://www.proteinreport.org/sites/default/files/2022-12/1280%20x%20256%20px-01.png,Plant-Based,"Meat, Dairy, Eggs, Seafood, Ingredients",Business,Asia,"As the industry undergoes a revolutionary change, THAIFEX – Anuga Asia 2023 sets the stage for the dramatic shift while anchoring on what we do best for you– NETWORKING, MARKET EXPOSURE and DRIVE REVENUE GROWTH. That means there will be more opportunities to amplify your business and meet your ROI in 2023!
With over 50,000 trade visitors and 2,000 exhibitors from over 120 countries, and a line-up of F&amp;B innovative highlights, industry experts talks, and chef competitions, there will be something here to unlock your next growth milestone and penetrate untapped Asia markets.","<p>As the industry undergoes a revolutionary change, THAIFEX – Anuga Asia 2023 sets the stage for the dramatic shift while anchoring on what we do best for you– NETWORKING, MARKET EXPOSURE and DRIVE REVENUE GROWTH. That means there will be more opportunities to amplify your business and meet your ROI in 2023!</p>
<p>With over 50,000 trade visitors and 2,000 exhibitors from over 120 countries, and a line-up of F&amp;B innovative highlights, industry experts talks, and chef competitions, there will be something here to unlock your next growth milestone and penetrate untapped Asia markets.</p>",2023-05-23,2023-05-27,False,Thailand,Bangkok,11226,
"Food Security Asia Congress",https://foodsecurityasia.com/,2022-12-19T06:12:19-0500,NL,/events/food-security-asia-congress,https://www.proteinreport.org/sites/default/files/2022-12/fsa-logo.png,https://www.proteinreport.org/sites/default/files/2022-12/fasban.jpg,"Cell-Based, Plant-Based, Microbial, Algae, Fungi","Meat, Dairy, Eggs, Seafood, Ingredients, Feed","Business, Health, Policy",Asia,"Food Security Asia Congress is to be held in-person on the 23rd to 24th May 2023 in Jakarta, Indonesia.","<p>Food Security Asia Congress is to be held in-person on the 23rd to 24th May 2023 in Jakarta, Indonesia. This international gathering of industry leaders will be categorize into 2 focus streams, with the first executive summit titled: “International Livestock, Poultry, Animal Health &amp; Feed Meet” and the second stream titled: “Plant Genomics Microbiome &amp; Agritech 2.0”.  Set to feature a stellar speaker line-up of global industry leaders, over 250 senior executive attendees, world class sponsors and exhibiting brands as well as endorsement from globally recognized supporting organizations, media, and government departments, this event will address the latest challenges, topics, trends and technologies that will shape the future of food.</p>",2023-05-23,2023-05-24,False,Indonesia,Jakarta,11224,
"Future Food-Tech London",https://futurefoodtechlondon.com/,2022-12-16T04:51:33-0500,NL,/events/future-food-tech-london-0,https://www.proteinreport.org/sites/default/files/2022-12/fft.jpg,https://www.proteinreport.org/sites/default/files/2022-12/fftlban.jpg,"Cell-Based, Plant-Based, Microbial, Molecular Farming, Algae, Fungi","Meat, Dairy, Eggs, Seafood, Ingredients",Business,Europe,"In 2022, more than 800+ C-Suite food brand executives, investors and entrepreneurs from around the globe met in London to spotlight technologies and partnerships to build healthier and more sustainable food systems.","<p>In 2022, more than 800+ C-Suite food brand executives, investors and entrepreneurs from around the globe met in London to spotlight technologies and partnerships to build healthier and more sustainable food systems.</p>",2023-09-21,2023-09-22,False,"United Kingdom",London,11221,
"Future Food-Tech Alternative Proteins",https://www.futurefoodtechprotein.com/,2022-12-16T04:36:23-0500,NL,/events/future-food-tech-alternative-proteins-1,https://www.proteinreport.org/sites/default/files/2022-12/fftlogo.png,https://www.proteinreport.org/sites/default/files/2022-12/fftapban_0.jpg,"Cell-Based, Plant-Based, Microbial, Molecular Farming, Algae, Fungi","Meat, Dairy, Eggs, Seafood, Ingredients",Business,"US &amp; Canada","The 2022 summit connected the entire value chain from around the world to map out the future of protein. 913 delegates joined us in New York to meet the founders, investors and food brands pioneering the future of alternative proteins. ","<p>The 2022 summit connected the entire value chain from around the world to map out the future of protein. 913 delegates joined us in New York to meet the founders, investors and food brands pioneering the future of alternative proteins. </p>",2023-06-27,2023-06-28,False,"United States","New York",11220,
