title,date,contributors,slug,images,videos,proteins,products,topics,regions,flags,directory,description,body,ID,image_caption,link,resource_type
"Meat substitutes: Resource demands and environmental footprints",2023-07-26T04:02:18-0400,,/research/meat-substitutes-resource-demands-and-environmental-footprints,,,"Cell-Based, Plant-Based, Microbial, Fungi, Animal","Meat, Dairy, Eggs, Seafood",Environment,International,,,"The modern food system is characterized with high environmental impact, which is in many cases associated with increased rates of animal production and overconsumption. The adoption of alternatives to meat proteins (insects, plants, mycoprotein, microalgae, cultured meat, etc.) might potentially influence the environmental impact and human health in a positive or negative way but could also trigger indirect impacts with higher consumption rates.","<p>The modern food system is characterized with high environmental impact, which is in many cases associated with increased rates of animal production and overconsumption. The adoption of alternatives to meat proteins (insects, plants, mycoprotein, microalgae, cultured meat, etc.) might potentially influence the environmental impact and human health in a positive or negative way but could also trigger indirect impacts with higher consumption rates. Current review provides a condensed analysis on potential environmental impacts, resource consumption rates and unintended trade-offs associated with integration of alternative proteins in complex global food system in the form of meat substitutes. We focus on emissions of greenhouse gases, land use, non-renewable energy use and water footprint highlighted for both ingredients used for meat substitutes and ready products. The benefits and limitations of meat substitution are highlighted in relation to a weight and protein content. The analysis of the recent research literature allowed us to define issues, that require the attention of future studies.</p>",11348,,https://www.sciencedirect.com/science/article/pii/S0921344922006632,"Academic Research"
"A review on mycoprotein: History, nutritional composition, production methods, and health benefits",2023-07-25T03:19:04-0400,,/research/review-mycoprotein-history-nutritional-composition-production-methods-and-health-benefits,,,"Microbial, Fungi","Meat, Ingredients",Sci-Tech,International,,,"Worldwide, the demand for healthier protein is rapidly increasing due to the population growth and health concerns associated with the consumption of red meat.","<p>Worldwide, the demand for healthier protein is rapidly increasing due to the population growth and health concerns associated with the consumption of red meat. Animal welfare, disease prevention and environmental challenges are the key driving factors for the development of <a href=""https://www.sciencedirect.com/topics/food-science/meat-analog"">meat analogues</a>. <a href=""https://www.sciencedirect.com/topics/biochemistry-genetics-and-molecular-biology/mycoprotein"">Mycoprotein</a> is a fungal-derived protein source that has been introduced as a more sustainable and healthier meat alternative due to its fibrous structure and unique functional profile.</p>",11346,,https://www.sciencedirect.com/science/article/abs/pii/S0924224422000358,"Academic Research"
"Repeated and long-term cryopreservation of primary bovine myogenic cells to maintain quality in biomimetic cultured meat",2023-04-17T03:09:30-0400,,/research/repeated-and-long-term-cryopreservation-primary-bovine-myogenic-cells-maintain-quality,,,Cell-Based,Meat,Sci-Tech,International,,,"Cultured meat produced using cell culture technology can potentially alleviate many of the ethical, environmental, and public health concerns associated with conventional livestock meat production. The industrialization of cultured meat for wide-spread adoption requires new methods to efficiently collect high-quality cells and to preserve their cell quality. Cryopreservation is a widely used technique to enable the long-term storage of cells without causing severe damage.","<p>Cultured meat produced using cell culture technology can potentially alleviate many of the ethical, environmental, and public health concerns associated with conventional livestock meat production. The industrialization of cultured meat for wide-spread adoption requires new methods to efficiently collect high-quality cells and to preserve their cell quality. Cryopreservation is a widely used technique to enable the long-term storage of cells without causing severe damage. In this study, we focused on the feasibility of cryopreservation to maintain cell quality for storage of bovine myogenic cells harvested from bovine meat based on our unique primary culture method. Primary bovine cells were incubated in a culture dish and then cryopreserved at −80°C for 1 week or 1 year. After thawing, the cells were further cultured for several passages to evaluate the abilities of the cells to proliferate or differentiate into myotubes. Furthermore, the cells were repeatedly cryopreserved for 1 week each time to investigate the impact of the repeated freezing and thawing. Consequently, long-term (within 1 year) or repeated (up to 3 times for 1 week each) cryopreservation at −80°C caused no degradation in the abilities of the cells to proliferate or differentiate, which is important for cultured meat production. We also confirmed that the cryopreservation did not require any unique cell freezing media. Moreover, based on our tissue engineering technique, our cryopreserved bovine myogenic cells had the ability to form sarcomere structures and produce muscle contractions even after they were frozen for 1 year. Although the bovine muscle tissues described here require more mature structures and functions in order to closely mimic native muscle tissue, we believe that the functional maturation of myogenic cells is essential to produce a “tissue-engineered meat” that will have native-like nutrients, texture, and taste that consumers will expect in the future. These results reveal the potential of cryopreserving quality-controlled bovine myogenic cells to contribute to a stable supply of high-quality cells for cultured meat&nbsp;production.</p>",11295,,https://www.frontiersin.org/articles/10.3389/fsufs.2023.1023057/full,"Academic Research"
"Aggregating in vitro-grown adipocytes to produce macroscale cell-cultured fat tissue with tunable lipid compositions for food applications",2023-04-06T12:26:01-0400,,/research/aggregating-vitro-grown-adipocytes-produce-macroscale-cell-cultured-fat-tissue-tunable,,,Cell-Based,"Meat, Ingredients",Sci-Tech,International,,,"We present a method of producing bulk cell-cultured fat tissue for food applications. Mass transport limitations (nutrients, oxygen, waste diffusion) of macroscale 3D tissue culture are circumvented by initially culturing murine or porcine adipocytes in 2D, after which bulk fat tissue is produced by mechanically harvesting and aggregating the lipid-filled adipocytes into 3D constructs using alginate or transglutaminase binders. The 3D fat tissues were visually similar to fat tissue harvested from animals, with matching textures based on uniaxial compression tests.","<p>We present a method of producing bulk cell-cultured fat tissue for food applications. Mass transport limitations (nutrients, oxygen, waste diffusion) of macroscale 3D tissue culture are circumvented by initially culturing murine or porcine adipocytes in 2D, after which bulk fat tissue is produced by mechanically harvesting and aggregating the lipid-filled adipocytes into 3D constructs using alginate or transglutaminase binders. The 3D fat tissues were visually similar to fat tissue harvested from animals, with matching textures based on uniaxial compression tests. The mechanical properties of cultured fat tissues were based on binder choice and concentration, and changes in the fatty acid compositions of cellular triacylglyceride and phospholipids were observed after lipid supplementation (soybean oil) during in vitro culture. This approach of aggregating individual adipocytes into a bulk 3D tissue provides a scalable and versatile strategy to produce cultured fat tissue for food-related applications, thereby addressing a key obstacle in cultivated meat&nbsp;production.</p>",11292,,https://elifesciences.org/articles/82120,"Academic Research"
"Continuous fish muscle cell line with capacity for myogenic and adipogenic-like phenotypes",2023-04-06T04:25:01-0400,,/research/continuous-fish-muscle-cell-line-capacity-myogenic-and-adipogenic-phenotypes,,,Cell-Based,Seafood,Sci-Tech,International,,,"Cell-cultivated fish offers the potential for a more ethical, sustainable, and safe seafood system. However, fish cell culture is relatively understudied in comparison to mammalian cells. Here, we established and characterized a continuous Atlantic mackerel (Scomber scombrus) skeletal muscle cell line (“Mack” cells). The cells were isolated from muscle biopsies of fresh-caught fish, with separate isolations performed from two distinct fish. Mack1 cells (cells from the first isolation) were cultured for over a year and subcultured over 130 times.","<p>Cell-cultivated fish offers the potential for a more ethical, sustainable, and safe seafood system. However, fish cell culture is relatively understudied in comparison to mammalian cells. Here, we established and characterized a continuous Atlantic mackerel (Scomber scombrus) skeletal muscle cell line (“Mack” cells). The cells were isolated from muscle biopsies of fresh-caught fish, with separate isolations performed from two distinct fish. Mack1 cells (cells from the first isolation) were cultured for over a year and subcultured over 130 times. The cells proliferated at initial doubling times of 63.9 h (± 19.1 <span class=""caps"">SD</span>). After a spontaneous immortalization crisis from passages 37–43, the cells proliferated at doubling times of 24.3 h (± 4.91 <span class=""caps"">SD</span>). A muscle phenotype was confirmed through characterization of muscle stemness and differentiation via paired-box protein 7 and myosin heavy chain immunostaining, respectively. An adipocyte-like phenotype was also demonstrated for the cells through lipid accumulation, confirmed via Oil Red O staining and quantification of neutral lipids. New qPCR primers (<span class=""caps"">HPRT</span>, <span class=""caps"">PAX3B</span>, <span class=""caps"">MYOD1</span>, <span class=""caps"">MYOG</span>, <span class=""caps"">TNNT3A</span>, and <span class=""caps"">PPARG</span>) were tailored to the mackerel genome and used to characterize mackerel cell genotypes. This work provides the first spontaneously immortalized fish muscle cell line for research, ideally serving as a reference for subsequent&nbsp;investigation.</p>",11290,,https://www.nature.com/articles/s41598-023-31822-2,"Academic Research"
"Food safety aspects of cell-based food",2023-04-05T15:18:21-0400,,/research/food-safety-aspects-cell-based-food,https://www.proteinreport.org/sites/default/files/2023-04/cell-based%20food%20safety.JPG,,Cell-Based,Meat,"Health, Policy",International,,,"The Food and Agriculture Organization of the United Nations (FAO), in collaboration with the World Health Organization (WHO), has developed the present document to engage with respective Members and relevant stakeholders by proactively sharing the current knowledge to identify concrete ways to inform consumers and all other stakeholders about the food safety considerations for cell-based food products.","<p>The Food and Agriculture Organization of the United Nations (FAO), in collaboration with the World Health Organization (WHO), has developed the present document to engage with respective Members and relevant stakeholders by proactively sharing the current knowledge to identify concrete ways to inform consumers and all other stakeholders about the food safety considerations for cell-based food products.</p>",11289,"report cover",https://www.fao.org/documents/card/en/c/cc4855en,"Industry Report"
"Our Future Proteins - A Diversity of Perspectives",2023-03-08T06:31:25-0500,,/research/our-future-proteins-diversity-perspectives,https://www.proteinreport.org/sites/default/files/2023-05/futureproteins.jpg,,"Cell-Based, Plant-Based, Microbial, Molecular Farming, Algae, Fungi, Insect, Animal","Meat, Dairy, Eggs, Seafood, Ingredients","Business, Culture, Environment, Health, Policy, Sci-Tech",International,,,"On 7 March 2023, the open-access book Our Future Proteins has been launched. In this book, 100+ experts present their views on the transition to sustainable protein production and consumption. Their visions cover a wide range of transition directions, from radically rethinking protein production systems to a pragmatic approach balancing global and local supply chains. By allowing a diversity of (sometimes divergent) perspectives, the book provides a snapshot of a dynamic transition in progress. Four of the editors are associated with Wageningen University &amp; Research.","<p>On 7 March 2023, the open-access book Our Future Proteins has been launched. In this book, 100+ experts present their views on the transition to sustainable protein production and consumption. Their visions cover a wide range of transition directions, from radically rethinking protein production systems to a pragmatic approach balancing global and local supply chains. By allowing a diversity of (sometimes divergent) perspectives, the book provides a snapshot of a dynamic transition in progress. Four of the editors are associated with Wageningen University &amp; Research.</p>",11311,"our future proteins book cover",https://www.wur.nl/en/news-wur/show/book-launch-our-future-proteins-a-diversity-of-perspectives.htm,"Industry Report"
"State of Global Fermentation Capacity",2023-02-23T02:51:27-0500,,/research/state-global-fermentation-capacity,https://www.proteinreport.org/sites/default/files/2023-02/capacitor%20report_0.JPG,,Microbial,Ingredients,Business,International,,,"This report, published by Synonym, offers new and valuable details on types of facilities by geography, bioreactor sizes, product expertise and more.","<p>This report, published by <a href=""https://synonym.bio/"">Synonym</a>, offers new and valuable details on types of facilities by geography, bioreactor sizes, product expertise and more.</p>",11266,"State of Global Fermentation Capacity report cover",https://www.capacitor.bio/trends,"Industry Report"
"Techno-economic modeling and assessment of cultivated meat: Impact of production bioreactor scale",2023-01-30T06:20:39-0500,,/research/techno-economic-modeling-and-assessment-cultivated-meat-impact-production-bioreactor-scale,,,Cell-Based,Meat,Sci-Tech,"US &amp; Canada",,,"Increases in global meat demands cannot be sustainably met with current methods of livestock farming, which has a substantial impact on greenhouse gas emissions, land use, water consumption, and farm animal welfare. Cultivated meat is a rapidly advancing technology that produces meat products by proliferating and differentiating animal stem cells in large bioreactors, avoiding conventional live-animal farming.","<p>Increases in global meat demands cannot be sustainably met with current methods of livestock farming, which has a substantial impact on greenhouse gas emissions, land use, water consumption, and farm animal welfare. Cultivated meat is a rapidly advancing technology that produces meat products by proliferating and differentiating animal stem cells in large bioreactors, avoiding conventional live-animal farming. While many companies are working in this area, there is a lack of existing infrastructure and experience at commercial scale, resulting in many technical bottlenecks such as scale-up of cell culture and media availability and costs. In this study, we evaluate theoretical cultivated beef production facilities with the goal of envisioning an industry with multiple facilities to produce in total 100,000,000 kg of cultured beef per year or ~0.14% of the annual global beef production. Using the computer-aided process design software, SuperPro Designer®, facilities are modeled to create a comprehensive analysis to highlight improvements that can lower the cost of such a production system and allow cultivated meat products to be competitive. Three facility scenarios are presented with different sized production reactors; ~42,000 L stirred tank bioreactor (STR) with a base case cost of goods sold (COGS) of $35/kg, ~211,000 L STR with a COGS of $25/kg, and ~262,000 L airlift reactor (ALR) with a COGS of $17/kg. This study outlines how advances in scaled up bioreactors, alternative bioreactor designs, and decreased media costs are necessary for commercialization of cultured meat products.</p>",11242,,https://onlinelibrary.wiley.com/doi/10.1002/bit.28324,"Academic Research"
"Spontaneous immortalization of chicken fibroblasts generates stable, high-yield cell lines for serum-free production of cultured meat",2023-01-03T03:17:34-0500,,/research/spontaneous-immortalization-chicken-fibroblasts-generates-stable-high-yield-cell-lines,,,Cell-Based,Meat,Sci-Tech,"Middle East",,,"Cellular agriculture could meet growing demand for animal products, but yields are typically low and regulatory bodies restrict genetic modification for cultured meat production. Here we demonstrate the spontaneous immortalization and genetic stability of fibroblasts derived from several chicken breeds. Cell lines were adapted to grow as single-cell suspensions using serum-free culture medium, reaching densities of 108 × 106 cells per ml in continuous culture, corresponding to yields of 36% w/v.","<p>Cellular agriculture could meet growing demand for animal products, but yields are typically low and regulatory bodies restrict genetic modification for cultured meat production. Here we demonstrate the spontaneous immortalization and genetic stability of fibroblasts derived from several chicken breeds. Cell lines were adapted to grow as single-cell suspensions using serum-free culture medium, reaching densities of 108 × 106 cells per ml in continuous culture, corresponding to yields of 36% w/v. We show that lecithin activates peroxisome proliferator-activated receptor gamma (<span class=""caps"">PPAR</span>γ), inducing adipogenesis in immortalized fibroblasts. Blending cultured adipocyte-like cells with extruded soy protein, formed chicken strips in which texture was supported by animal and plant proteins while aroma and flavour were driven by cultured animal fat. Visual and sensory analysis graded the product 4.5/5.0, with 85% of participants extremely likely to replace their food choice with this cultured meat product. Immortalization without genetic modification and high-yield manufacturing are critical for the market realization of cultured&nbsp;meat.</p>",11234,,https://www.nature.com/articles/s43016-022-00658-w,"Academic Research"
